source,target,weight
126,194,35
126,195,212
126,196,27
127,133,272
127,135,20
127,136,322
127,137,181
127,143,241
127,155,161
127,156,19
127,157,2
127,158,4
127,160,1
127,162,1
127,167,20
127,170,315
127,172,161
127,180,161
127,181,193
127,186,712
127,188,761
127,190,198
127,194,87
127,195,144
127,196,352
127,197,2549
128,130,16
128,132,325
128,137,902
128,138,147
128,139,133
128,142,131
128,147,19
128,149,119
128,150,1794
128,153,137
128,157,16
128,164,72
128,173,147
128,175,735
128,178,56
128,182,23
128,184,252
128,185,16
128,186,79
128,194,3534
128,195,5299
128,196,9100
128,198,84
129,136,104
129,137,24
129,141,136
129,143,445
129,156,1010
129,158,4
129,160,223
129,164,25
129,168,202
129,170,198
129,183,191
129,194,3223
129,195,178
129,196,1691
129,206,4160
130,135,2
130,137,74
130,143,5
130,144,125
130,156,408
130,168,2
130,172,507
130,179,8
130,182,5
130,189,2
130,195,832
130,197,8
131,132,6
131,136,1125
131,137,256
131,146,393
131,150,29
131,173,9
131,180,196
131,194,5
131,196,20
132,135,467
132,137,6
132,139,130
132,140,210
132,156,1074
132,157,1044
132,168,123
132,173,125
132,175,672
132,181,575
132,184,2
132,186,12
132,188,884
132,194,3292
132,195,4657
132,196,164
133,146,40
133,148,1232
133,149,57
133,185,10
133,194,1663
133,195,662
133,196,935
133,198,4160
134,138,236
134,143,69
134,146,142
134,154,169
134,160,120
134,162,437
134,168,27
134,177,299
134,179,3
134,182,915
134,186,46
134,194,3292
134,195,1456
134,196,1402
135,138,561
135,139,69
135,143,8
135,147,702
135,149,172
135,150,4
135,158,68
135,162,4
135,164,55
135,166,26
135,168,416
135,173,2927
135,175,40
135,182,300
135,183,270
135,186,173
135,187,3
135,188,6
135,189,12
135,191,154
135,192,79
135,194,18
135,195,35
135,196,45
135,197,187
135,198,95
135,201,144
136,137,426
136,142,38
136,149,90
136,151,53
136,152,247
136,157,1
136,159,79
136,162,22
136,168,32
136,172,605
136,173,68
136,177,24
136,178,16
136,185,135
136,186,112
136,188,7
136,194,35
136,195,53
136,196,1168
137,141,213
137,152,201
137,153,100
137,160,2
137,164,199
137,168,604
137,170,201
137,171,25
137,175,32
137,177,98
137,179,3
137,186,49
137,187,38
137,188,951
137,189,190
137,191,201
137,194,18
137,195,19
137,196,173
137,198,1664
137,206,1664
137,210,140
137,211,194
137,213,206
137,214,247
137,215,276
138,149,76
138,150,168
138,153,56
138,175,677
138,182,364
138,194,70
138,195,181
138,196,458
138,202,131
139,150,53
139,175,1590
139,176,1
139,186,35
139,187,208
139,188,228
139,194,104
139,195,359
139,196,1678
139,207,832
140,143,136
140,145,169
140,148,758
140,153,93
140,156,210
140,162,105
140,173,10
140,179,436
140,194,3258
140,195,265
140,196,831
140,199,3328
140,206,832
140,212,3
141,149,14
141,151,21
141,159,3
141,161,393
141,182,373
141,184,8
141,188,397
141,194,35
141,195,88
141,196,1761
141,203,56
142,143,63
142,146,22
142,147,136
142,149,397
142,154,4
142,159,5
142,166,18
142,168,45
142,170,332
142,177,22
142,182,21
142,187,289
142,188,438
142,194,3189
142,195,236
142,196,2162
143,146,463
143,150,1
143,154,242
143,156,644
143,160,12
143,170,128
143,171,4
143,174,15
143,182,1
143,186,1702
143,188,480
143,191,38
143,192,2139
143,194,104
143,195,1444
143,196,838
143,197,3328
144,186,135
144,187,9
144,188,200
144,194,104
144,195,1386
144,196,3255
144,208,34
145,146,2
145,150,2
145,157,60
145,172,813
145,177,157
145,178,7
145,185,159
145,186,8
145,194,1732
145,195,1388
145,196,1838
146,147,15
146,149,21
146,150,60
146,154,712
146,155,360
146,158,42
146,160,246
146,161,22
146,173,544
146,176,69
146,186,246
146,188,224
146,191,106
146,194,3258
146,195,185
146,196,730
146,197,72
146,198,1664
147,162,83
147,168,15
147,171,72
147,182,211
147,185,90
147,186,72
147,194,35
147,195,27
147,196,401
148,153,1169
148,154,2
148,170,18
148,179,27
148,185,198
148,194,3223
148,195,278
148,196,1481
148,199,4160
149,150,109
149,151,30
149,152,70
149,159,316
149,161,501
149,169,14
149,171,74
149,172,12
149,181,74
149,182,6
149,183,1
149,186,3
149,188,109
149,194,1732
149,195,212
149,196,2116
149,208,21
150,153,21
150,162,6
150,168,103
150,172,306
150,173,2
150,174,186
150,182,431
150,185,4
150,186,113
150,188,2
150,192,18
150,194,1733
150,195,948
150,196,1146
150,202,73
151,179,72
151,181,507
151,186,64
151,194,35
151,195,29
151,196,268
152,169,198
152,188,6
152,194,70
152,195,126
152,196,228
152,198,1664
152,204,56
153,158,2
153,162,79
153,171,139
153,173,132
153,177,56
153,178,34
153,180,4
153,184,116
153,188,25
153,194,104
153,195,5
153,196,350
154,155,135
154,170,133
154,172,68
154,176,1
154,179,195
154,186,65
154,194,104
154,195,423
154,196,478
154,207,832
155,170,25
155,185,20
155,194,3154
155,195,111
155,196,1813
156,157,210
156,168,4
156,175,145
156,181,3
156,194,1663
156,195,35
156,196,986
157,178,98
157,186,1
157,194,104
157,195,2292
157,196,634
158,160,112
158,162,125
158,165,56
158,167,170
158,175,19
158,180,1
158,183,204
158,186,4
158,188,77
158,194,52
158,195,913
158,196,1709
159,162,623
159,166,180
159,167,222
159,168,45
159,172,308
159,176,1
159,181,88
159,182,194
159,183,10
159,186,17
159,188,593
159,194,1663
159,195,221
159,196,1349
159,200,6
160,177,954
160,179,16
160,182,136
160,188,246
160,192,214
160,194,104
